,artist,genre,song_name,release_year,id_song
176,Mari Trini,pop,Quién me venderá,2020,7yFmkehoNmfZHvVsneiqTd
177,Fadar Bege,pop,Mai Dubun Daraja,2020,7yFpN2l1YcZrhonnA3Bkep
178,Guddu Rangila,pop,Lagawale Bani Lakadi - Holi Song,2020,7HaPOMLv3a2lbhHLcXGFg0
179,Trupti Das,pop,Kene Gheni Jaucha Jagannathanku,2020,1IA5usbQ4hHnYA4xtJyXEm
180,Seal,pop,I'm Alive - BT & Sasha Mix,2020,5EpwQcQ11CvrUsXw1ZIITM
181,Fariz RM,pop,Nyanyian Malam,2020,4qVxzNIBmZlkGGcRQv8E4m
182,Rabin Boro,pop,Burkhai Haya,2020,4BGCzvLFQUkxdq70o01hts
183,Anil Bisht,pop,Chal Baijro Ka Saina,2020,6oM2y1IOvybMZwBu3D0YBg
184,Zubeen Garg,pop,Tumi Jun Niki - Original,2020,12GJ8mPRxIBFmZcXnxoRYV
185,Sankalp Khetwal,pop,Sajyu Bolya Sajegi Barat,2020,44qrfTWkYPUXxfwBHN3Dcj
186,SEST,pop,Coroa (feat. Fred Drumond),2020,28Ndr6qTC0ZY2VXmM768lj
187,Daniel Levi,pop,Si on peut,2020,17NahJudSBjyXXsEpkdlyI
188,Suresh Wadkar,pop,"Achyutam Keshavam - From ""Achyutam Keshavam - Zee Music Devotional""",2020,6j4e00HdFs3wEKAp9O92o3
189,VIA Plamja,pop,Всюду только ты,2020,0o9jbMdQG1TNDpYxP0Rdj9
190,Praful Dave,pop,Dakorthi Dwarika Aaviya Re Lol,2020,7pzRpmwb433DqmAwRUFT4L
191,Namita Agrawal,pop,Bisikesana 5,2020,5lHfGFqVPaYo6cykocfXFE
192,Rani Rangili,pop,Sawan Bhadava - 2,2020,3gz7VAkh43tAxBOb3dzDXq
193,Fariz RM,pop,Sekisah Kasih,2020,130nHQMYpAVXydN0rIgpbc
194,Akshara Singh,pop,Garda Udi Aso,2020,1Gr1u94nmrCbGIa1JPWK2w
195,Rodzeng,pop,RSK,2020,2809qoeYFSd0DT1FJooV4b
196,Aalaap Raju,pop,Neeye Neeye,2020,1Gq4nGuA6pyxafWkBLJwr7
197,Miss Pooja,pop,Ishare,2020,1IIxklmMqRt7LhMXTilOHd
198,Mayday Parade,pop,Kids In Love,2020,7eBQHQQhr2WqfKuEovFSaq
199,Marino Marini,pop,Piccolissima Serenata,2020,4J7Pz4WgIf2MxOewmYKJSH
200,Mehdi Farukh,pop,Dambura,2020,663cZMFtMpn18xPszsD6OW
201,Big Mj,pop,My Woman,2020,2lMzA2eJd2lulJXvbdZvQ9
202,Lalitya Munshaw,pop,Aaj Hi Jee Le,2020,2lsbAkBaEraO3ZOQZLOOkp
